Hotel Name;Actual Price;Predicted Price;Price Difference;Fair Price Range
Hillstone Bodrum Hotel Spa;22425.0;13.891.232.612.415.900;8.533.767.387.584.030;Low
Hotel Melas Lara;24750.0;19.722.057.952.827.100;5.027.942.047.172.820;Low
Hotel Samara;21060.0;20.132.966.196.456.100;9.270.338.035.438.760;Low
Hotel Terrace Elite Resort;21654.6;15.656.627.426.577.000;5.997.972.573.422.910;Low
Jacaranda Luxury Hotel;43176.6;21.014.966.042.119.300;22.161.633.957.880.600;Low
Jura Hotels Lara Resort;12750.0;13.068.434.030.338.000;-3.184.340.303.380.080;Medium
Radisson Blu Resort Spa Çeşme;27405.0;1.939.769.215.898.190;800.730.784.101.801;Low
Rixos Downtown Antalya;46381.9;1.786.103.547.953.950;2.852.086.452.046.040;Low
Robinson Çamyuva;34888.0;1.983.941.674.378.590;1.504.858.325.621.400;Low
Royal Atlantis Spa Resort;16830.0;21.109.859.627.684.400;-4.279.859.627.684.480;High
Royal Holiday Palace;36270.0;22.005.537.200.371.600;14.264.462.799.628.300;Low
Royal Seginus Hotel;36270.0;2.141.596.300.315.950;14.854.036.996.840.400;Low
Royal Wings Hotel;27667.8;2.244.238.059.316.630;5.225.419.406.833.650;Low
Saphir Hotel;29250.0;19.654.554.658.780.200;9.595.445.341.219.780;Low
Saphir Resort Spa;37050.0;20.241.840.597.380.100;16.808.159.402.619.800;Low
Scylax Family Club;14400.0;18.951.313.517.951.100;-4.551.313.517.951.160;High
Seaden Sea Planet Resort Spa;18144.0;21.225.680.275.951.000;-30.816.802.759.510.200;High
Seaden Valentine Resort Spa;18792.0;1.913.278.064.919.820;-3.407.806.491.982.700;Medium
Seher Sun Palace;13860.0;17.574.605.708.896.900;-3.714.605.708.896.930;High
Selge Beach Resort Spa;47400.0;19.346.541.625.685.000;28.053.458.374.314.900;Low
Serenis Hotel;15933.0;15.634.820.183.262.000;29.817.981.673.795.200;Medium
Seven Seas Gravel Select;22345.8;22.137.015.251.712.300;2.087.847.482.876.710;Medium
Xanadu Island Bodrum;36000.0;20.637.572.687.812.100;15.362.427.312.187.800;Low
Alan Xafira Deluxe Resort Spa;14973.0;18.641.796.344.259.500;-3.668.796.344.259.570;High
Aqı Pegasos World;18008.1;20.627.050.332.901.200;-2.618.950.332.901.230;High
Grand Cettia Hotel;23940.0;13.592.922.822.715.500;10.347.077.177.284.400;Low
Grand Kolibri Prestige Spa;10206.7;18.744.749.451.286.400;-8.538.049.451.286.440;High
Miracle Resort Otel;40500.0;19.719.953.338.020.500;20.780.046.661.979.400;Low
Sianji Well Being Resort;25110.0;18.986.130.004.464.800;6.123.869.995.535.120;Low
Side Star Park;16046.6;18.452.628.865.237.100;-24.060.288.652.371.600;High
Tui Magic Life Masmavi;25061.4;20.993.662.743.753.900;40.677.372.562.460.000;Low
Campus Hill Hotel;7781.4;13.531.087.482.734.400;-5.749.687.482.734.400;High
Club Porto Amore Adult Only;41971.0;18.888.003.520.854.600;23.082.996.479.145.300;Low
Del Mare Reserve Hotel Spa;56764.8;19.421.935.320.238.500;3.734.286.467.976.140;Low
Diamond Hill Resort;12232.5;18.609.253.099.006.400;-6.376.753.099.006.470;High
Elementa Boutique Hotel;27360.0;17.399.138.462.607.300;9.960.861.537.392.660;Low
Aqı Hydros Club;16891.2;1.979.876.142.096.890;-290.756.142.096.897;High
Arabella World Hotel;8373.7;16.573.403.447.505.800;-8.199.703.447.505.830;High
Ares Blue Hotel;8178.0;17.837.068.750.855.400;-9.659.068.750.855.440;High
Artemis Princess Hotel;10520.9;17.021.151.784.203.000;-6.500.251.784.203.060;High
Aska Just İn Beach;16456.5;19.207.219.041.783.600;-27.507.190.417.836.400;High
Balmy Beach Resort Kemer;57852.0;192.191.748.552.204;386.328.251.447.796;Low
Belkon Club Hotel;5100.0;13.731.664.105.727.100;-8.631.664.105.727.150;High
Bilem Hotel Beach Spa;20351.2;19.536.872.395.249.700;8.143.276.047.502.440;Low
Blue Fish Hotel;13114.3;18.853.861.476.169.100;-5.739.561.476.169.130;High
Club Kastalia Holiday Village;17796.2;19.200.059.315.907.300;-14.038.593.159.073.800;High
Club Munamar Beach Resort;9691.5;18.865.687.557.108.800;-9.174.187.557.108.860;High
Falcon Hotel;28800.0;20.128.666.250.581.600;8.671.333.749.418.390;Low
Fun And Sun Smart Hane Sun;13678.8;14.253.038.963.855.000;-574.238.963.855.063;High
Green Paradise Hotel;6891.4;18.300.770.869.312.000;-11.409.370.869.312.000;High
Hera Hotel Kaş;15390.0;19.313.749.658.599.900;-3.923.749.658.599.920;High
Hotel Bleu Nuit;4050.0;1.804.743.000.190.480;-13.997.430.001.904.800;High
Kleopatra Arsi Hotel;18711.3;18.110.310.183.832.000;6.009.898.161.679.920;Low
Lonicera Premium Hotel;16447.8;19.446.580.843.673.400;-29.987.808.436.734.800;High
Magna Manastır Suıt Hotel;23760.0;1.722.188.535.418.990;6.538.114.645.810.040;Low
Seher Kumköy Star Resort Spa;18720.0;20.063.249.104.334.200;-13.432.491.043.342.900;High
Side Amour Hotel;10800.0;13.089.552.326.777.700;-2.289.552.326.777.760;High
Side Win Hotel;6891.4;1.515.225.569.731.720;-826.085.569.731.724;High
Sisus Marina Hotel;10920.0;13.390.340.297.502.200;-24.703.402.975.022.800;High
The D Hotel Ceşme Spa Resort;18921.6;12.700.552.074.936.900;6.221.047.925.063.030;Low
Vita Bella Hotel Resort Spa;22950.0;1.912.480.432.608.820;38.251.956.739.117.500;Low
Club Hotel Mirabell;8004.0;19.282.718.708.880.900;-11.278.718.708.880.900;High
Grand Park Lara;17313.7;2.020.462.624.610.200;-2.890.926.246.102.080;High
Holiday Inn Antalya Lara;16906.5;15.828.309.745.506.200;10.781.902.544.937.900;Low
Oba Star Hotel Spa;8716.5;18.950.005.787.247.000;-10.233.505.787.247.000;High
Prenses Sealine Beach Hotel;13425.5;16.845.625.620.274.100;-3.420.125.620.274.150;High
Stella Hotel Kemer;12105.0;178.866.790.353.115;-5.781.679.035.311.490;High
A11 Hotel Obaköy;7257.0;1.910.123.851.819.770;-1.184.423.851.819.770;High
Akra V;15897.6;1.663.139.099.919.450;-733.790.999.194.518;High
Kleopatra Ada Hotel;8775.0;1.868.432.246.919.060;-9.909.322.469.190.620;High
Kleopatra Beach Hotel;10800.0;18.843.472.545.960.500;-8.043.472.545.960.500;High
Latanya Palm Hotel;11834.0;1.299.983.662.626.120;-11.658.366.262.612.900;High
Monte Carlo Hotel;12285.0;18.247.766.395.426.800;-5.962.766.395.426.870;High
Ni Marin Hotel;22075.2;191.589.040.602.692;29.162.959.397.308.000;Low
Old Town Point Hotel;13495.3;14.491.186.208.143.600;-9.958.862.081.436.490;High
Olive Tree Hotel;19800.0;18.113.679.704.846.800;1.686.320.295.153.190;Low
Premier Nergis Beach;18954.3;1.931.120.544.245.650;-3.569.054.424.565.800;Medium
Ramitos Hotel Turunç;19014.8;12.768.567.401.786.100;6.246.232.598.213.840;Low
Rammos Hotel Bodrum;20928.0;19.012.712.891.411.300;19.152.871.085.886.000;Low
Rich Melissa Hotel;9180.0;12.700.985.220.767.300;-35.209.852.207.673.700;High
Rk Magic Dream Hotel;15750.0;13.757.575.193.115.300;19.924.248.068.846.700;Low
Seagull Hotel;13566.0;19.082.098.652.141.400;-5.516.098.652.141.470;High
Çıralı Azur Hotel;17975.5;17.924.756.539.413.000;5.074.346.058.694.200;Medium
Elista Boutique Hotel Spa;34699.5;18.908.846.071.118.600;15.790.653.928.881.300;Low
Golden Orange Hotel;17535.2;15.936.574.057.849.800;15.986.259.421.501.200;Low
Grand Bahama Beach Hotel;15300.0;15.973.157.218.122.600;-6.731.572.181.226.720;High
Honeymoon Beach Hotel;10200.0;1.833.465.566.294.310;-8.134.655.662.943.150;High
Hotel Centro Bodrum;9152.2;12.360.853.346.487.300;-32.086.533.464.873.200;High
Hotel Golden Sun;19941.0;16.344.358.209.133.400;3.596.641.790.866.560;Low
Leslion Luxury Hotel;10200.0;12.809.482.109.658.200;-2.609.482.109.658.230;High
Mene City Hotel;26069.7;12.638.927.588.756.900;13.430.772.411.243.000;Low
Rosy Hotel;7500.0;12.615.876.319.899.000;-5.115.876.319.899.040;High
Santa Marina Hotel;9900.0;1.833.191.428.299.260;-843.191.428.299.265;High
Sava Hotel;7437.1;1.836.374.213.393.890;-1.092.664.213.393.890;High
Valeri Beach Hotel;16351.8;1.890.896.931.905.090;-25.571.693.190.509.200;High
Yalıhan Aspendos Hotel;20412.0;1.930.138.182.040.040;1.110.618.179.599.520;Low
Exporoyal Hotel;5125.8;12.530.811.634.651.200;-7.405.011.634.651.200;High
Samira Resort Kalkan;8550.0;1.272.461.369.890.320;-4.174.613.698.903.280;High
Side Löwe Hotel;9720.0;1.288.246.509.145.180;-31.624.650.914.518.200;High
Blue Bay Beach Hotel;7650.0;188.467.799.278.026;-111.967.799.278.026;High
Can Adalya Palace Hotel;6789.0;12.565.242.234.887.300;-5.776.242.234.887.370;High
Candan City Beach Otel;12352.9;177.146.275.263.208;-5.361.727.526.320.800;High
De Mare Family Hotel;9027.0;18.906.080.608.467.800;-9.879.080.608.467.850;High
Hotel Finike Marine;8496.0;1.615.350.345.724.150;-765.750.345.724.151;High
Hotel Royal Hill;10124.4;18.238.082.582.231.600;-8.113.682.582.231.660;High
İntermar Marmaris;4800.0;18.309.299.122.796.600;-13.509.299.122.796.600;High
Kleopatra İkiz Otel;5886.7;18.376.832.218.744.500;-12.490.132.218.744.500;High
Kosa Otel Çeşme;10200.0;17.212.947.053.159.400;-7.012.947.053.159.400;High
Lara Otel;10615.0;1.952.060.889.412.530;-8.905.608.894.125.390;High
Lara World Hotel;11514.1;17.268.431.688.189.300;-5.754.331.688.189.320;High
Lavitas Hotel;7560.0;13.444.338.844.962.200;-5.884.338.844.962.230;High
Lonicera City Kleopatra Hotel;14364.8;1.799.262.700.257.330;-3.627.827.002.573.390;High
Lupo Libero Hotel Spa;6559.4;14.412.963.658.173.300;-7.853.563.658.173.380;High
Marbas Select Beach;11131.3;18.742.688.987.326.400;-7.611.388.987.326.420;High
Maris Beach Hotel;16083.3;1.862.408.194.268.430;-25.407.819.426.843.300;High
Mevre Hotel;16478.6;12.499.369.761.578.500;39.792.302.384.214.400;Low
Mira Su Hotel;3942.0;1.577.702.494.496.830;-1.183.502.494.496.830;High
Nasa Flora Otel;10290.0;18.051.744.078.156.100;-7.761.744.078.156.120;High
Beyond Otel;11751.0;180.036.300.264.502;-6.252.630.026.450.190;High
Güleryüz Hotel;5122.7;1.740.922.259.652.960;-12.286.522.596.529.600;High
Kleopatra Beach Yıldız Hotel;18000.0;23.833.239.630.806.100;-5.833.239.630.806.190;High
Ni Hotel Lara;15137.2;12.600.173.524.490.300;2.537.026.475.509.620;Low
Sunset Hotel Marmaris;23130.9;12.347.588.407.542.300;10.783.311.592.457.600;Low
Via Farilya Hotel;47994.0;1.671.786.171.658.660;3.127.613.828.341.330;Low
Beetle House Coffee Hotel;7800.0;12.760.489.482.892.400;-4.960.489.482.892.490;High
Dores Residence;18732.2;17.535.397.691.064.700;11.968.023.089.352.000;Low
Evergreen Glamping;11880.0;12.085.813.903.752.500;-2.058.139.037.525.320;Medium
Flamingo Residence;18721.2;12.373.793.749.261.400;6.347.406.250.738.530;Low
Golden World Suite Hotel;13464.0;12.637.213.196.107.900;8.267.868.038.920.640;Low
Magic Garden Apart;8400.0;16.503.077.060.679.200;-8.103.077.060.679.250;High
İrem Garden Hotel;7284.8;14.399.260.346.433.800;-7.114.460.346.433.890;High
Arya Apart;8412.0;13.461.563.792.290.900;-5.049.563.792.290.910;High
Maison 48 Apart;11332.7;16.136.960.806.906.000;-4.804.260.806.906.040;High
New Safir Apart Hotel;13669.6;15.089.182.399.117.600;-14.195.823.991.176.700;High
Nirvana Apart Hotel;16819.2;12.003.866.884.019.900;48.153.331.159.800.200;Low
Sardunya Apart;6120.0;13.944.213.797.477.800;-7.824.213.797.477.820;High
Sercan Apart Hotel;11773.4;1.820.119.433.013.250;-6.427.794.330.132.580;High
Stile Suite Family Hotel;10820.7;13.553.605.877.110.500;-2.732.905.877.110.550;High
Şahin Apart Otel;4800.0;1.703.428.753.539.590;-1.223.428.753.539.590;High
Villa Asoa;14400.0;12.461.829.042.996.000;1.938.170.957.003.900;Low
Mavi Cennet Camping Pansiyon;12235.9;18.346.858.512.584.700;-61.109.585.125.847.800;High
Beta Guesthouse;16819.2;16.655.388.524.384.900;16.381.147.561.501.300;Medium
Deruni Ilıca Otel;15000.0;13.488.255.555.453.500;15.117.444.445.464.700;Low
Finike Sever Otel;4500.0;1.720.651.113.276.990;-1.270.651.113.276.990;High
Akkan Luxury Hotel;17975.1;17.974.518.492.038.200;0.5815079617023002;Medium
Amore Boutique Hotel;6811.7;16.277.606.497.698.700;-9.465.906.497.698.740;High
Art Suites Bodrum;30000.0;1.876.285.810.463.730;11.237.141.895.362.600;Low
Azuu Boutique Hotel;14716.3;12.765.347.335.353.300;19.509.526.646.466.800;Low
Babil Butik Hotel;8302.5;17.561.349.150.738.200;-9.258.849.150.738.260;High
Bodrium Hotel And Spa;22950.0;13.158.605.776.786.600;9.791.394.223.213.370;Low
Casamia Boutique Hotels;25800.0;1.870.425.789.289.000;7.095.742.107.109.980;Low
Casaoliva Alaçatı;28382.4;12.488.107.215.586.800;15.894.292.784.413.100;Low
Çınar Butik Kaş;9021.0;17.321.680.532.480.400;-8.300.680.532.480.400;High
Değirmenburnu Residence;15697.9;16.077.736.084.325.000;-3.798.360.843.250.570;Medium
Doria Hotel Yacht Club;61020.0;18.528.620.298.416.300;4.249.137.970.158.360;Low
Düşler Evim;11995.2;11.995.300.263.138.300;-0.10026313830530853;Medium
Elysium Green Suites Lara;17691.7;12.742.850.845.336.700;4.948.849.154.663.260;Low
En Vie Beach Boutique Hotel;15032.1;18.651.102.619.901.100;-36.190.026.199.011.400;High
Falcon 1511;16200.0;1.747.435.299.735.490;-12.743.529.973.549.800;High
Karyatit Hotel;10121.5;17.220.042.512.985.600;-7.098.542.512.985.690;High
Kekik Alaçatı Otel Mayko;9200.0;12.455.923.684.750.500;-32.559.236.847.505.000;High
La Mira Suites;7800.0;12.097.532.956.683.800;-4.297.532.956.683.820;High
Olympos Village Reluxury Hotel;16830.0;12.778.039.098.515.900;40.519.609.014.840.700;Low
Örsmaris Boutique Hotel;9799.9;18.778.863.051.725.400;-8.978.963.051.725.450;High
Palmalife Hotel;23512.8;195.829.440.259.942;3.929.855.974.005.800;Low
Seçkin Best Hotel Bodrum;9040.3;12.366.575.032.962.300;-3.326.275.032.962.300;High
Solo Boutique Hotel;19200.0;17.068.751.967.086.500;21.312.480.329.134.900;Low
Spektr Boutique Hotel Spa;33953.7;15.843.711.893.518.200;18.109.988.106.481.700;Low
The Mori Club Hotel;13850.6;17.689.671.721.693.800;-38.390.717.216.938.700;High
Veranda Suites;9041.1;12.264.857.799.375.200;-32.237.577.993.752.400;High
Villa Sonata Hotel;5882.4;17.231.360.432.198.300;-11.348.960.432.198.300;High
Afflon Hotels Sea Hill Concept;16311.1;17.569.366.296.931.800;-12.582.662.969.318.000;High
Alaroof Butik Otel;15000.0;12.716.317.952.380.300;22.836.820.476.196.600;Low
Amour Alaçatı Butik Otel;23994.0;15.540.090.730.695.800;8.453.909.269.304.190;Low
Casa Luna Hotel Alaçatı;31200.0;12.720.594.239.165.800;18.479.405.760.834.100;Low
Adrasan La Casita Boutique Hotel;15600.0;16.434.812.873.875.700;-8.348.128.738.757.730;High
Afet Hanım Konağı;12643.8;1.260.341.544.802.000;4.038.455.197.996.880;Medium
Ala Otel Alaçatı;23126.4;12.745.807.609.502.000;10.380.592.390.497.900;Low
Alaçatı Ala Konak Butik Otel;15000.0;12.425.010.260.288.400;25.749.897.397.115.700;Low
Alaçatı Roka Taş Otel;14000.0;12.299.293.633.503.600;17.007.063.664.963.400;Low
Antmare Hotel;27363.1;18.780.470.270.495.100;8.582.629.729.504.840;Low
Armel Alaçatı;17919.0;12.498.619.431.326.900;5.420.380.568.673.080;Low
Aspat Hotel Bodrum Beach Restaurant;7500.0;1.717.885.002.285.710;-9.678.850.022.857.120;High
Club Çapa;12220.6;1.861.615.347.377.240;-6.395.553.473.772.470;High
Coastline Boutique Hotel;9000.0;17.645.723.206.488.900;-8.645.723.206.488.930;High
Comfy Otel Antalya Lara;3658.1;15.256.494.830.901.500;-11.598.394.830.901.500;High
Çeşme Flowers Otel;60000.0;13.422.653.914.695.400;46.577.346.085.304.500;Low
Çeşme Marin Butik Otel;11600.0;12.314.564.428.454.000;-7.145.644.284.540.830;High
Der Inn Hotel Lara;23152.8;17.897.022.741.218.000;5.255.777.258.781.960;Low
Dolphin Butik Otel;26287.4;18.394.413.108.489.300;7.892.986.891.510.640;Low
Dream Time Hotel;11356.2;16.176.143.157.863.500;-4.819.943.157.863.570;High
Elanis Suites Hotel;21030.2;17.792.492.199.405.100;32.377.078.005.948.500;Low
Exen By Weekend;9000.0;18.014.508.422.527.500;-9.014.508.422.527.510;High
Flores Hotel Alaçatı;16815.1;12.360.659.290.551.000;44.544.407.094.489.700;Low
Grand Faik Hotel;11163.6;1.728.938.381.787.900;-6.125.783.817.879.060;High
Güler Butik Hotel;3876.0;18.995.483.386.776.200;-15.119.483.386.776.200;High
Gümüş Peninsula Hotel;27120.9;17.751.976.714.793.600;9.368.923.285.206.350;Low
Karden Otel;9471.4;1.776.390.678.711.250;-8.292.506.787.112.580;High
Kemer Park Hotel;6000.0;12.318.837.126.563.100;-6.318.837.126.563.120;High
Kemer Suite Apart Otel;4200.0;15.795.861.626.011.100;-11.595.861.626.011.100;High
Kempinski Residences Bodrum Barbaros Reserve;241920.0;18.507.719.384.517.000;22.341.228.061.548.200;Low
Köşe Konak Hotel;28306.7;12.533.996.660.960.600;15.772.703.339.039.300;Low
Kybele Suites Alaçatı;13800.0;1.226.999.600.117.350;15.300.039.988.264.300;Low
La Vida Triangulo Hotel;34500.0;12.382.684.839.851.900;22.117.315.160.148.000;Low
Lacitrus Villa Hotel;12386.4;12.505.015.917.708.900;-11.861.591.770.891.500;Medium
Lara Garden Hotel;6825.3;1.268.048.482.260.920;-585.518.482.260.928;High
Leaf River Suites;17665.5;12.795.156.971.621.100;4.870.343.028.378.850;Low
Likya Residence Hotel Spa;39116.5;1.280.771.140.193.920;2.630.878.859.806.070;Low
Lilium Boutique Hotel;18456.0;12.637.387.867.309.900;58.186.121.326.900.900;Low
Mon Amour Alaçatı;11994.0;1.231.438.606.945.310;-3.203.860.694.531.390;Medium
Moy Side;6000.0;17.692.609.312.392.400;-11.692.609.312.392.400;High
Mucho Butik Otel;7560.0;16.548.362.820.754.500;-8.988.362.820.754.570;High
No81 Hotel;28950.0;18.811.348.368.029.200;10.138.651.631.970.700;Low
Oscar Garden Hotel;11826.0;14.646.917.252.858.900;-2.820.917.252.858.910;High
Otel Gümüşlük;15000.0;18.299.497.486.282.300;-32.994.974.862.823.000;High
Payava Hotel By True Blue;17782.7;16.751.925.508.759.000;10.307.744.912.409.600;Low
Ramona Hotel;15326.5;15.969.758.722.351.600;-6.432.587.223.516.820;High
Rayana Hotel;14364.0;17.592.990.206.380.700;-3.228.990.206.380.770;High
Signature Alaçatı;59213.1;12.574.279.173.837.700;46.638.820.826.162.200;Low
Swan Boutique Hotel;25228.8;16.589.683.598.174.900;8.639.116.401.825.000;Low
The Farrys Boutique Hotel;19552.3;18.151.509.794.334.600;14.007.902.056.653.100;Low
The Hill Glamping;10912.5;12.555.989.508.068.000;-16.434.895.080.680.000;High
The Hotel 48;7573.0;1.775.147.551.414.360;-1.017.847.551.414.360;High
True Blue Boutique Hotel;26542.9;1.656.944.350.727.250;9.973.456.492.727.430;Low
Via Perla Butik Otel;20400.0;14.995.473.780.702.100;5.404.526.219.297.840;Low
Viento Hotel Alaçatı;38400.0;12.691.296.606.835.700;25.708.703.393.164.200;Low
Yalıkavak Marina Garden Hotel;22649.1;18.477.891.994.502.700;4.171.208.005.497.200;Low
Gvar Apart Hotel;6622.5;15.035.134.681.531.000;-8.412.634.681.531.040;High
Hotel Berke Ranch Nature;12278.0;13.198.772.542.955.100;-920.772.542.955.172;High
Kadirs Tree Houses;15714.0;12.593.226.264.168.300;31.207.737.358.316.700;Low
La Boutique Hotel Suites;25316.5;19.072.096.338.596.500;6.244.403.661.403.420;Low
Maja Luxury Çeşme;22113.0;18.714.555.952.957.800;3.398.444.047.042.140;Low
Moonshine Hotel Suites;9144.5;16.131.322.709.691.000;-6.986.822.709.691.060;High
Nostalgia World Otel;17640.0;1.787.707.755.750.600;-23.707.755.750.609.000;Medium
Patara Prince Resort;14533.2;20.605.174.055.243.400;-6.071.974.055.243.450;High
Patron Hotel;9000.0;15.848.073.434.944.500;-6.848.073.434.944.540;High
Peninsula Gardens Hotel;44479.3;1.786.072.843.597.640;2.661.857.156.402.350;Low
Sey Beach Hotel Spa;14152.5;18.681.503.611.479.300;-4.529.003.611.479.350;High
Start Otel;8210.7;12.595.295.351.952.100;-4.384.595.351.952.130;High
Terra Rossa;6264.1;12.269.603.464.938.500;-6.005.503.464.938.510;High
The Lifeco Bodrum;98812.8;18.613.121.589.168.700;8.019.967.841.083.120;Low
The Room Hotel Apartments;8830.0;13.451.574.632.984.400;-4.621.574.632.984.400;High
Eldar Garden Resort;10752.0;17.751.390.203.539.500;-6.999.390.203.539.560;High
Ena Boutique Hotel;19342.0;1.566.223.076.354.600;36.797.692.364.539.900;Low
Ertan Otel Çeşme;18360.0;1.835.990.016.526.110;0.09983473885949934;Medium
Parkım Ayaz Otel;16728.0;19.699.814.937.441.300;-2.971.814.937.441.340;High
Qinn Hotel;13410.0;1.908.746.740.806.900;-5.677.467.408.069.040;High
Sun Pearl Resort Çeşme;12375.0;1.866.311.372.715.080;-6.288.113.727.150.840;High
Şifne Thermal Hotel;21000.0;1.851.637.251.447.490;24.836.274.855.250.800;Low
The Sansa Hotel;11640.0;12.911.243.322.412.300;-12.712.433.224.123.000;High
Regnum Carya;84600.0;26.094.983.980.022.400;58.505.016.019.977.500;Low
Robinson Nobilis;39815.9;19.659.241.931.650.400;20.156.658.068.349.500;Low
Side Kum Hotel;27783.0;16.475.815.142.124.200;11.307.184.857.875.700;Low
Sui Resort Hotel;21582.0;16.061.648.725.982.500;55.203.512.740.174.200;Low
Aqı Pegasos Resort;18314.1;19.870.113.458.441.200;-1.556.013.458.441.250;High
Best Western Plus Khan Hotel;19768.4;13.003.737.644.222.300;6.764.662.355.777.610;Low
Charm Beach Hotel;15606.0;19.618.874.036.061.400;-4.012.874.036.061.480;High
Ritim Apart Otel;1681709.6;16.505.795.893.268.900;16.652.038.041.067.300;Low
Golden Key Hisarönü;47994.0;18.650.597.905.384.400;29.343.402.094.615.500;Low
Lavanta Hotel Turunç;12614.4;13.413.331.846.481.000;-7.989.318.464.810.070;High
Monottoman Otel;15900.0;1.250.633.916.553.270;33.936.608.344.672.200;Low
Petunya Konak Butik Otel;13665.6;12.710.241.736.355.900;9.553.582.636.440.130;Low
Upperhouse Boutique Hotel;14580.0;1.668.624.342.356.690;-21.062.434.235.669.700;High
Graf Victor Hotel;8409.6;17.913.084.165.653.900;-9.503.484.165.653.960;High
Tourist Hotel;11805.4;17.771.992.120.038.300;-5.966.592.120.038.300;High
Sarp Hotels Kadriye;11437.0;13.115.726.711.174.200;-16.787.267.111.742.900;High
Majeste Hotel Bodrum;7920.0;17.205.739.468.230.900;-9.285.739.468.230.910;High
Adrasan Nar Çiçeği Otel;35880.0;13.330.135.688.801.100;22.549.864.311.198.800;Low
Türkmen Tree Houses;19131.8;14.398.140.638.515.100;4.733.659.361.484.820;Low
The Marilis Hill Resort Hotel Spa;13642.6;14.244.175.223.436.000;-6.015.752.234.360.240;High
Sea City Devran Hotel Spa;59918.4;17.434.775.090.690.400;424.836.249.093.096;Low
